"Fecha","[Min] % Humedad Relativa","[Prom] m/s Velocidad de Viento","[Prom] mm Precipitación","[Prom] mm Evapotranspiración"
"2025-01-01","62.92","02.43","00.00","03.26"
"2025-01-02","59.67","02.18","00.00","04.22"
"2025-01-03","60.44","02.21","00.00","04.24"
"2025-01-04","54.54","01.81","00.00","03.07"
"2025-01-05","46.00","02.33","00.00","04.40"
"2025-01-06","56.79","01.89","00.00","03.72"
"2025-01-07","56.43","01.86","00.00","03.36"
"2025-01-08","56.97","02.18","00.00","04.91"
"2025-01-09","62.65","01.84","00.00","03.58"
"2025-01-10","65.34","01.88","00.00","03.40"
"2025-01-11","61.45","01.95","00.00","03.12"
"2025-01-12","62.09","01.70","00.00","02.51"
"2025-01-13","51.14","01.96","00.00","05.15"
"2025-01-14","62.88","02.44","00.00","04.30"
"2025-01-15","58.04","02.13","00.00","04.35"
"2025-01-16","54.97","02.66","00.00","05.29"
"2025-01-17","63.75","02.41","00.00","04.25"
"2025-01-18","47.20","02.27","00.00","05.02"
"2025-01-19","62.68","02.67","00.00","04.20"
"2025-01-20","57.83","02.23","00.00","03.83"
"2025-01-21","53.50","02.38","00.00","04.46"
"2025-01-22","56.95","02.16","00.00","04.65"
"2025-01-23","53.33","02.50","00.00","05.26"
"2025-01-24","50.95","02.63","00.00","05.24"
"2025-01-25","61.46","02.60","00.00","04.70"
"2025-01-26","61.76","02.49","00.00","03.76"
"2025-01-27","58.90","02.13","00.00","03.93"
"2025-01-28","61.36","02.91","00.00","03.96"
"2025-01-29","55.59","01.77","00.10","03.49"
"2025-01-30","54.45","01.97","00.00","04.42"
"2025-01-31","58.82","02.45","00.00","04.21"
"2025-02-01","62.27","02.66","00.00","04.18"
"2025-02-02","64.30","02.47","00.00","04.05"
"2025-02-03","50.05","02.34","00.00","05.06"
"2025-02-04","55.24","02.78","00.00","04.88"
"2025-02-05","53.39","02.30","00.00","04.88"
"2025-02-06","61.04","03.09","00.00","04.21"
"2025-02-07","55.63","01.90","00.00","04.00"
"2025-02-08","55.94","02.50","00.00","04.72"
"2025-02-09","56.29","01.79","00.00","03.83"
"2025-02-10","50.12","01.42","00.00","04.68"
"2025-02-11","54.00","02.51","00.00","05.09"
"2025-02-12","53.84","02.59","00.00","04.83"
"2025-02-13","61.29","02.15","00.00","04.33"
"2025-02-14","60.40","01.96","00.00","03.84"
"2025-02-15","56.33","02.44","00.00","04.35"
"2025-02-16","55.06","02.29","00.00","04.23"
"2025-02-17","58.24","02.10","00.00","04.05"
"2025-02-18","59.11","02.83","00.00","03.63"
"2025-02-19","55.76","01.87","00.00","03.70"
"2025-02-20","49.83","01.96","00.00","04.77"
"2025-02-21","60.79","02.46","00.00","04.25"
"2025-02-22","57.86","02.44","00.00","03.74"
"2025-02-23","64.46","02.29","00.00","03.15"
"2025-02-24","64.52","02.25","00.00","03.10"
"2025-02-25","63.57","01.93","00.00","04.00"
"2025-02-26","61.61","02.36","00.00","03.82"
"2025-02-27","58.61","02.17","00.00","03.56"
"2025-02-28","55.76","01.73","00.00","04.40"
"2025-03-01","56.79","02.21","00.00","04.22"
"2025-03-02","57.32","02.10","00.00","03.96"
"2025-03-03","46.78","02.18","00.00","04.44"
"2025-03-04","52.97","02.23","00.00","04.21"
